"","week","AQHI","stationName"
"452",2019-11-03,2.30627223354761,"Burnaby South"
"453",2019-11-10,1.855611585669,"Burnaby South"
"454",2019-11-17,2.1031029634061,"Burnaby South"
"455",2019-11-24,2.37953690135737,"Burnaby South"
"456",2019-12-01,2.23823427407292,"Burnaby South"
"457",2019-12-08,1.94994859934517,"Burnaby South"
"458",2019-12-15,2.19123595938208,"Burnaby South"
"459",2019-12-22,1.88254630137694,"Burnaby South"
"460",2019-12-29,2.01141318445856,"Burnaby South"
"461",2020-01-05,2.12033062302906,"Burnaby South"
"462",2020-01-12,2.26234723793676,"Burnaby South"
