date,speed
"Sep 1, 2016",6:02/km
"Jan 17, 2021",6:02/km
"Mar 25, 2021",6:02/km
"May 18, 2015",6:04/km
"Jul 6, 2014",6:04/km
"Oct 8, 2014",6:04/km
"Mar 7, 2019",6:04/km
"Jan 25, 2019",6:04/km
"May 3, 2017",6:04/km
"Apr 16, 2017",6:04/km
"Sep 1, 2016",6:04/km
"Jan 17, 2021",6:04/km
"Jan 23, 2022",6:04/km
"Jul 17, 2022",6:04/km
"Aug 24, 2022",6:04/km
"Oct 16, 2022",6:04/km
"Jul 25, 2019",6:06/km
"Mar 10, 2019",6:06/km
"Aug 23, 2020",6:06/km
"Nov 26, 2020",6:06/km
"May 9, 2015",6:06/km
"Jan 26, 2021",6:06/km
"Oct 6, 2021",6:06/km
"Jul 21, 2019",6:08/km
"Apr 12, 2018",6:08/km
"Mar 11, 2018",6:08/km
"Aug 21, 2017",6:08/km
"Jul 5, 2021",6:08/km
"Jul 3, 2022",6:08/km
"Aug 11, 2022",6:08/km
"Sep 5, 2022",6:08/km
"Feb 15, 2020",6:11/km
"Jan 22, 2019",6:11/km
"Apr 14, 2017",6:11/km
"Apr 4, 2014",6:11/km
"Apr 25, 2020",6:11/km
"Sep 6, 2020",6:11/km
"Jan 10, 2021",6:11/km
"Apr 22, 2021",6:11/km
"Apr 28, 2021",6:11/km
"May 16, 2021",6:11/km
"Sep 30, 2021",6:11/km
"Mar 4, 2019",6:13/km
"Sep 23, 2018",6:13/km
"Sep 23, 2018",6:13/km
"Feb 15, 2015",6:13/km
"Mar 16, 2014",6:13/km
"May 1, 2020",6:13/km
"Jun 19, 2020",6:13/km
"Oct 17, 2020",6:13/km
"May 2, 2021",6:13/km
"Jul 11, 2021",6:13/km
"Sep 19, 2021",6:13/km
"Nov 1, 2021",6:13/km
"Dec 24, 2021",6:13/km
"Jan 16, 2022",6:13/km
"Jul 21, 2017",6:15/km
"Mar 2, 2014",6:15/km
"Jul 17, 2020",6:15/km
"Mar 14, 2021",6:15/km
"Aug 14, 2020",6:15/km
"Jun 27, 2021",6:15/km
"Mar 19, 2020",6:18/km
"Mar 7, 2018",6:18/km
"May 24, 2020",6:18/km
"Jun 1, 2020",6:18/km
"Jul 5, 2020",6:18/km
"Jul 10, 2020",6:18/km
"Oct 12, 2020",6:18/km
"Jan 18, 2021",6:18/km
"Dec 21, 2019",6:20/km
"Aug 25, 2019",6:20/km
"May 9, 2019",6:20/km
"Dec 30, 2017",6:20/km
"Jul 3, 2017",6:20/km
"May 4, 2014",6:20/km
"Apr 11, 2021",6:20/km
"Apr 26, 2021",6:20/km
"May 14, 2021",6:20/km
"Feb 15, 2022",6:20/km
"Mar 30, 2022",6:20/km
"May 11, 2022",6:20/km
"Oct 13, 2018",6:22/km
"Feb 2, 2017",6:22/km
"Apr 11, 2015",6:22/km
"Apr 27, 2020",6:22/km
"Sep 19, 2020",6:22/km
"Nov 7, 2020",6:22/km
"Feb 20, 2021",6:22/km
"Aug 29, 2021",6:22/km
"Sep 1, 2016",6:24/km
"Apr 14, 2020",6:24/km
"Aug 13, 2020",6:24/km
"Dec 25, 2020",6:24/km
"May 8, 2021",6:24/km
"Aug 8, 2021",6:24/km
"Aug 17, 2021",6:24/km
"Sep 23, 2021",6:24/km
"Apr 27, 2021",6:24/km
"Nov 21, 2018",6:27/km
"Nov 20, 2017",6:27/km
"Jul 12, 2017",6:27/km
"Nov 25, 2016",6:27/km
"May 21, 2016",6:27/km
"Apr 22, 2020",6:27/km
"Apr 7, 2022",6:27/km
"Dec 20, 2018",6:29/km
"Aug 24, 2022",6:29/km
"Nov 17, 2019",6:31/km
"Jun 24, 2021",6:31/km
"Jan 25, 2022",6:31/km
"Apr 3, 2022",6:31/km
"Jun 14, 2022",6:31/km
"Sep 8, 2022",6:31/km
"Oct 6, 2019",6:33/km
"Sep 27, 2016",6:33/km
"Jun 10, 2020",6:33/km
"Feb 4, 2021",6:33/km
"Sep 5, 2021",6:33/km
"Nov 22, 2021",6:33/km
"Jun 24, 2021",6:33/km
"Sep 8, 2022",6:33/km
"Mar 8, 2020",6:36/km
"Jul 4, 2020",6:36/km
"Nov 7, 2020",6:36/km
"Dec 5, 2020",6:36/km
"Jan 19, 2021",6:36/km
"Sep 21, 2022",6:36/km
"Feb 3, 2018",6:38/km
"Apr 27, 2020",6:38/km
"Oct 13, 2019",6:40/km
"Jun 5, 2014",6:43/km
"Mar 26, 2020",6:43/km
"Jun 11, 2020",6:43/km
"Aug 23, 2020",6:43/km
"Oct 19, 2020",6:43/km
"Feb 9, 2021",6:43/km
"Dec 18, 2019",6:45/km
"Jun 8, 2017",6:45/km
"Mar 15, 2017",6:45/km
"Mar 28, 2020",6:45/km
"Aug 31, 2020",6:45/km
"Mar 7, 2021",6:45/km
"Mar 14, 2020",6:47/km
"Mar 30, 2015",6:47/km
"Mar 11, 2018",6:49/km
"Jan 14, 2018",6:49/km
"Apr 6, 2014",6:49/km
"May 10, 2020",6:49/km
"Jan 15, 2021",6:49/km
"Jan 21, 2021",6:49/km
"Mar 3, 2021",6:49/km
"Mar 30, 2021",6:49/km
"Feb 11, 2022",6:49/km
"Jun 25, 2019",6:52/km
"Mar 25, 2018",6:52/km
"Mar 14, 2020",6:52/km
"May 5, 2020",6:52/km
"Mar 13, 2020",6:52/km
"May 29, 2022",6:52/km
"Nov 7, 2018",6:54/km
"Jun 9, 2017",6:54/km
"Sep 19, 2020",6:54/km
"Apr 14, 2022",6:54/km
"Jun 19, 2022",6:54/km
"Oct 13, 2022",6:54/km
"Oct 29, 2017",6:56/km
"Jun 9, 2017",6:56/km
"Apr 15, 2020",6:56/km
"May 1, 2020",6:56/km
"Oct 2, 2020",6:56/km
"Aug 11, 2021",6:56/km
"Jan 25, 2022",6:56/km
"Jun 23, 2019",6:58/km
"Apr 22, 2018",6:58/km
"Mar 20, 2017",6:58/km
"Sep 29, 2018",7:01/km
"Jul 2, 2018",7:01/km
"Jan 26, 2018",7:01/km
"May 6, 2017",7:01/km
"May 30, 2021",7:01/km
"Jul 13, 2021",7:01/km
"Sep 1, 2020",7:03/km
"Oct 18, 2020",7:03/km
"Dec 31, 2018",7:05/km
"Mar 7, 2021",7:05/km
"Aug 3, 2019",7:05/km
"Feb 19, 2022",7:05/km
"May 23, 2022",7:05/km
"Sep 29, 2018",7:08/km
"Apr 19, 2014",7:08/km
"Feb 7, 2021",7:08/km
"Feb 22, 2022",7:08/km
"Aug 30, 2020",7:10/km
"Jan 17, 2021",7:10/km
"Jul 17, 2021",7:10/km
"Sep 12, 2022",7:12/km
"Apr 12, 2020",7:14/km
"Aug 18, 2020",7:14/km
"Jul 14, 2022",7:14/km
"May 4, 2019",7:17/km
"Oct 8, 2015",7:17/km
"Aug 31, 2021",7:17/km
"Oct 17, 2022",7:17/km
"Apr 28, 2017",7:19/km
"Apr 1, 2020",7:19/km
"Jul 3, 2019",7:21/km
"Apr 4, 2019",7:21/km
"Apr 4, 2019",7:21/km
"Jan 11, 2021",7:21/km
"Mar 7, 2021",7:21/km
"Jul 16, 2022",7:21/km
"Sep 25, 2022",7:21/km
"Aug 10, 2019",7:23/km
"Oct 24, 2016",7:23/km
"Aug 10, 2020",7:23/km
"Mar 14, 2021",7:23/km
"May 21, 2017",7:26/km
"Jun 6, 2020",7:26/km
"Aug 13, 2020",7:26/km
"Mar 23, 2021",7:26/km
"Mar 24, 2021",7:30/km
"Apr 30, 2019",7:33/km
"Mar 10, 2019",7:33/km
"Mar 10, 2019",7:33/km
"Jul 31, 2018",7:37/km
"Apr 28, 2017",7:39/km
"Jul 5, 2020",7:39/km
"Jun 13, 2016",7:42/km
"Oct 9, 2019",7:44/km
"Mar 10, 2019",7:44/km
"Jun 13, 2020",7:46/km
"Mar 8, 2021",7:49/km
"Aug 6, 2019",7:51/km
"Jun 9, 2019",7:51/km
"Jun 13, 2020",7:51/km
"Sep 12, 2021",7:51/km
"May 6, 2017",7:55/km
"Jun 13, 2020",7:55/km
"Jun 13, 2021",7:55/km
"Oct 24, 2020",7:58/km
"Sep 24, 2022",7:58/km
"Jun 13, 2020",8:00/km
"Mar 17, 2019",8:07/km
"Jun 13, 2016",8:09/km
"Mar 14, 2021",8:09/km
"May 18, 2016",8:11/km
"Aug 24, 2017",8:16/km
"Jan 26, 2021",8:16/km
"May 9, 2020",8:18/km
"Jul 23, 2021",8:18/km
"Jan 30, 2022",8:18/km
"Sep 12, 2022",8:18/km
"Apr 10, 2015",8:23/km
"Sep 29, 2020",8:23/km
"Jun 29, 2022",8:25/km
"Mar 9, 2008",8:27/km
"Jun 23, 2020",8:27/km
"May 20, 2014",8:29/km
"May 28, 2020",8:32/km
"Feb 22, 2022",8:32/km
"Nov 13, 2020",8:34/km
"Nov 9, 2013",8:36/km
"Apr 30, 2021",8:36/km
"Apr 25, 2020",8:39/km
"Jun 4, 2020",8:39/km
"Sep 21, 2021",8:39/km
"Apr 24, 2022",8:39/km
"Aug 17, 2021",8:41/km
"Jan 21, 2022",8:43/km
"Oct 15, 2017",8:45/km
"Oct 27, 2013",8:45/km
"Aug 23, 2017",8:48/km
"Apr 9, 2017",8:52/km
"Aug 25, 2020",8:59/km
"Jul 23, 2015",9:01/km
"Apr 16, 2021",9:01/km
"Jul 15, 2019",9:04/km
"Jun 11, 2022",9:04/km
"Jul 28, 2019",9:06/km
"Jan 31, 2019",9:13/km
"Jul 3, 2022",9:13/km
"Mar 18, 2020",9:22/km
"Jun 3, 2017",9:22/km
"Jul 26, 2016",9:24/km
"Aug 31, 2022",9:31/km
"Jan 3, 2022",9:38/km
"Jul 8, 2022",9:44/km
"Oct 4, 2018",9:47/km
"Sep 13, 2012",9:49/km
"Nov 10, 2018",9:51/km
"Mar 25, 2021",9:56/km
"May 8, 2022",10:00/km
"Sep 24, 2022",10:07/km
"Sep 28, 2020",10:14/km
"Aug 19, 2020",10:16/km
"Mar 21, 2020",10:21/km
"Apr 3, 2019",10:21/km
"Jul 2, 2013",10:25/km
"May 2, 2021",10:25/km
"Jan 25, 2015",10:35/km
"Apr 2, 2021",10:39/km
"Jun 7, 2020",10:41/km
"Apr 30, 2018",10:44/km
"Jul 22, 2022",10:44/km
"Mar 11, 2018",10:50/km
"Jul 27, 2017",10:57/km
"Feb 25, 2020",11:06/km
"Jan 9, 2021",11:20/km
"Jul 23, 2021",11:34/km
"May 1, 2022",11:34/km
"Apr 6, 2018",11:52/km
"Dec 4, 2018",12:24/km
"May 24, 2020",12:49/km
"Apr 29, 2019",13:27/km
"Mar 20, 2020",13:32/km
"Dec 27, 2010",14:17/km
"Apr 17, 2016",15:21/km
"Aug 20, 2020",16:27/km
"Aug 20, 2020",16:50/km
"Apr 26, 2020",17:35/km
